contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
29414,990.76,600,Sanders,390.76,CHARLESTON,SC,CHARLESTON,45,019,32.851119,-80.123542
07882,990.72,0,Sanders,990.72,WASHINGTON,NJ,WARREN,34,041,40.757961,-75.016148
33412,990.65,250,Sanders,740.65,WEST PALM BEACH,FL,PALM BEACH,12,099,26.830085,-80.212742
38201,990,0,Sanders,990,MC KENZIE,TN,CARROLL,47,017,36.135985,-88.51342
92555,989.8,290,Sanders,699.8,MORENO VALLEY,CA,RIVERSIDE,06,065,33.901688,-117.107273
99004,989.7,360,Sanders,629.7,CHENEY,WA,SPOKANE,53,063,47.420572,-117.641582
92223,989.45,701.79,Sanders,287.6600000000001,BEAUMONT,CA,RIVERSIDE,06,065,33.917086,-117.000084
99645,989.2,1825,Warren,835.8,PALMER,AK,MATANUSKA SUSITNA,02,170,61.605987,-148.909773
29063,989.09,1000,Warren,10.909999999999968,IRMO,SC,RICHLAND,45,079,34.142575,-81.215952
18436,989,100,Sanders,889,LAKE ARIEL,PA,WAYNE,42,127,41.440568,-75.423955
48382,989,0,Sanders,989,COMMERCE TOWNSHIP,MI,OAKLAND,26,125,42.584792,-83.500822
85045,988.59,0,Sanders,988.59,PHOENIX,AZ,MARICOPA,04,013,33.303086,-112.108096
